onset	duration	reaction_time	trial_number	trial_type	button_pressed	action	explode_trial	trial_value	trial_cumulative_value	payoff_level	onset_orig	duration_orig	trial_type_orig
400.770904287	2	0.366270759000145	26	BALOON	b	ACCEPT	0	0.25	1.5	0.25	400.7709	2	accept
402.430384787	2	0.299428152000019	26	BALOON	y	CASHOUT	0	0	1.5	0.25	402.4304	2	reject
411.408791186	2	0.384434956999939	27	BALOON	b	ACCEPT	0	0.25	0.75	0.25	411.4088	2	accept
413.333713415	2	0.235899329999938	27	BALOON	b	ACCEPT	0	0.25	1	0.25	413.3337	2	accept
414.943636571	2	0.257729966999705	27	BALOON	b	ACCEPT	0	0.25	1.25	0.25	414.9436	2	accept
417.117645684	2	0.316804320999836	27	BALOON	b	ACCEPT	0	0.25	1.5	0.25	417.1176	2	accept
419.158952831	2	0.324514636999993	27	BALOON	y	CASHOUT	0	0	1.5	0.25	419.159	2	reject
422.942838963	2	0.289854546999777	28	BALOON	b	ACCEPT	0	0.25	0.75	0.25	422.9428	2	accept
425.033884975	2	0.047357035999994	28	BALOON	b	ACCEPT	0	0.25	1	0.25	425.0339	2	accept
426.295132372	2	0.315827700000227	28	BALOON	b	ACCEPT	0	0.25	1.25	0.25	426.2951	2	accept
428.452569594	2	0.274770073000127	28	BALOON	b	ACCEPT	0	0.25	1.5	0.25	428.4526	2	accept
430.178601462	2	0.285848132999945	28	BALOON	y	CASHOUT	0	0	1.5	0.25	430.1786	2	reject
436.534814897	2	0.305855115999748	29	BALOON	b	ACCEPT	1	0.25	0.75	0.25	436.5348	2	accept
438.559354792	2	0.225958626999727	29	BALOON	b	ACCEPT	1	0.25	1	0.25	438.5594	2	accept
440.43473395	2	0.198216961000071	29	BALOON	b	ACCEPT	1	0.25	1.25	0.25	440.4347	2	accept
441.762505352	2	0	29	BALOON	n/a	EXPLODE	1	0	1.25	0.25	441.7625	2	explode
447.222548272	2	0.22734837500002	30	BALOON	b	ACCEPT	1	0.25	0.75	0.25	447.2225	2	accept
449.363251182	2	0.230906051000147	30	BALOON	b	ACCEPT	1	0.25	1	0.25	449.3633	2	accept
451.570568693	2	0.230950112999835	30	BALOON	b	ACCEPT	1	0.25	1.25	0.25	451.5706	2	accept
453.46243718	2	0.29191261699998	30	BALOON	b	ACCEPT	1	0.25	1.5	0.25	453.4624	2	accept
455.53700428	2	0	30	BALOON	n/a	EXPLODE	1	0	1.5	0.25	455.537	2	explode
458.988890734	2	0.453446596000049	31	BALOON	b	ACCEPT	0	0.25	0.75	0.25	458.9889	2	accept
460.581915241	2	0.275655691000338	31	BALOON	b	ACCEPT	0	0.25	1	0.25	460.5819	2	accept
461.992680041	2	0.305238419000034	31	BALOON	b	ACCEPT	0	0.25	1.25	0.25	461.9927	2	accept
464.266369424	2	0.343521169000269	31	BALOON	b	ACCEPT	0	0.25	1.5	0.25	464.2664	2	accept
466.307599166	2	0.342271102999803	31	BALOON	y	CASHOUT	0	0	1.5	0.25	466.3076	2	reject
470.091596591	2	0.373201927000082	32	BALOON	b	ACCEPT	0	0.25	0.75	0.25	470.0916	2	accept
471.999892314	2	0.27858295499982	32	BALOON	b	ACCEPT	0	0.25	1	0.25	471.9999	2	accept
474.074308901	2	0.239671041999827	32	BALOON	b	ACCEPT	0	0.25	1.25	0.25	474.0743	2	accept
475.850284567	2	0.359049452999898	32	BALOON	b	ACCEPT	0	0.25	1.5	0.25	475.8503	2	accept
477.908142574	2	0.317026176000127	32	BALOON	y	CASHOUT	0	0	1.5	0.25	477.9081	2	reject
481.359970871	2	0.367209827000352	33	BALOON	b	ACCEPT	0	0.25	0.75	0.25	481.36	2	accept
483.600459245	2	0.617736653000065	33	BALOON	b	ACCEPT	0	0.25	1	0.25	483.6005	2	accept
485.259981654	2	0.325617149000209	33	BALOON	b	ACCEPT	0	0.25	1.25	0.25	485.26	2	accept
487.135354835	2	0.314129646999845	33	BALOON	b	ACCEPT	0	0.25	1.5	0.25	487.1354	2	accept
489.425478051	2	0.415972538000005	33	BALOON	y	CASHOUT	0	0	1.5	0.25	489.4255	2	reject
493.7737128	2	0.316854955000053	34	BALOON	b	ACCEPT	0	0.25	0.75	0.25	493.7737	2	accept
495.482956923	2	0.246154774999923	34	BALOON	b	ACCEPT	0	0.25	1	0.25	495.483	2	accept
497.391485677	2	0.251704453999992	34	BALOON	b	ACCEPT	0	0.25	1.25	0.25	497.3915	2	accept
499.001314691	2	0.248550312000134	34	BALOON	b	ACCEPT	0	0.25	1.5	0.25	499.0013	2	accept
501.142205295	2	0.37090916499983	34	BALOON	y	CASHOUT	0	0	1.5	0.25	501.1422	2	reject
504.909405978	2	0.237188134999997	35	BALOON	b	ACCEPT	0	0.25	0.75	0.25	504.9094	2	accept
506.60223947	2	0.222507166000014	35	BALOON	b	ACCEPT	0	0.25	1	0.25	506.6022	2	accept
508.842693668	2	0.0796088489996691	35	BALOON	b	ACCEPT	0	0.25	1.25	0.25	508.8427	2	accept
510.037506639	2	0.331771927999853	35	BALOON	b	ACCEPT	0	0.25	1.5	0.25	510.0375	2	accept
511.48140356	2	0.359501830999761	35	BALOON	y	CASHOUT	0	0	1.5	0.25	511.4814	2	reject
516.01197079	2	0.285016605999772	36	BALOON	b	ACCEPT	0	0.25	0.75	0.25	516.012	2	accept
517.937071602	2	0.208803323999746	36	BALOON	b	ACCEPT	0	0.25	1	0.25	517.9371	2	accept
519.248160991	2	0.290231477999896	36	BALOON	b	ACCEPT	0	0.25	1.25	0.25	519.2482	2	accept
521.23976426	2	0.313714867000272	36	BALOON	b	ACCEPT	0	0.25	1.5	0.25	521.2398	2	accept
523.197985711	2	0.291989505999936	36	BALOON	y	CASHOUT	0	0	1.5	0.25	523.198	2	reject
