onset	duration	reaction_time	percent_off_trial	trial_type	immediate_amount	delayed_amount	delay_time_words	delay_time_days	k_this_trial	response_button	response_binarized	onset.plus.rt	onset.plus.stimdur	absolute_time	trialnum	onset_orig	duration_orig	trial_type_orig	easy_par_orig	hard_par_orig
 16.02	4.5	1.3620	 1.90	easy_par	5	22.465	1 year	365	0.009570	y	1	 17.38	 20.53	0	1	16.0159	4.5	easy_par	0.5	n/a
 21.26	4.5	0.6550	 0.05	hard_par	10	22.647	1 year	365	0.003465	y	1	 21.92	 25.77	5.25	2	21.2601	4.5	hard_par	n/a	0.2708
 26.50	4.5	1.0044	-0.95	easy_par	5	 5.006	1 week	7	0.000165	b	0	 27.51	 31.02	10.5	3	26.5043	4.5	easy_par	-0.5	n/a
 37.01	4.5	2.9346	-0.01	hard_par	10	11.960	2 months	60	0.003267	b	0	 39.94	 41.52	21	5	37.0096	4.5	hard_par	n/a	-0.7292
 42.25	4.5	1.6635	 1.90	easy_par	5	 5.096	2 days	2	0.009570	y	1	 43.92	 46.77	26.25	6	42.2538	4.5	easy_par	0.5	n/a
 47.51	4.5	1.4052	 0.01	hard_par	5	 5.350	3 weeks	21	0.003333	y	1	 48.92	 52.03	31.5	7	47.5146	4.5	hard_par	n/a	0.2708
 52.76	4.5	0.8547	-0.01	hard_par	10	21.925	1 year	365	0.003267	y	1	 53.61	 57.27	36.75	8	52.7589	4.5	hard_par	n/a	0.2708
 58.00	4.5	1.9953	 0.01	hard_par	5	 6.000	2 months	60	0.003333	b	0	 60.00	 62.52	42	9	58.0032	4.5	hard_par	n/a	-0.7292
 63.26	4.5	1.3762	 0.05	hard_par	5	 5.364	3 weeks	21	0.003465	y	1	 64.64	 67.78	47.25	10	63.264	4.5	hard_par	n/a	0.2708
 68.51	4.5	2.3227	-0.95	easy_par	5	 5.002	2 days	2	0.000165	b	0	 70.83	 73.02	52.5	11	68.5082	4.5	easy_par	-0.5	n/a
 73.75	4.5	1.5738	-0.99	easy_par	5	 5.001	1 week	7	0.000033	b	0	 75.33	 78.27	57.75	12	73.7525	4.5	easy_par	-0.5	n/a
 79.01	4.5	2.0168	 0.05	hard_par	10	12.079	2 months	60	0.003465	y	1	 81.03	 83.53	63	13	79.0134	4.5	hard_par	n/a	0.2708
 84.26	4.5	1.7304	-0.05	hard_par	5	 5.329	3 weeks	21	0.003135	y	1	 85.99	 88.77	68.25	14	84.2577	4.5	hard_par	n/a	0.2708
 89.50	4.5	2.3381	 0.05	hard_par	5	 6.040	2 months	60	0.003465	b	0	 91.84	 94.02	73.5	15	89.502	4.5	hard_par	n/a	-0.7292
 94.76	4.5	1.5070	-0.95	easy_par	5	 5.050	2 months	60	0.000165	b	0	 96.27	 99.28	78.75	16	94.7627	4.5	easy_par	-0.5	n/a
100.01	4.5	1.4962	-0.05	hard_par	10	10.063	2 days	2	0.003135	y	1	101.50	104.52	84	17	100.0071	4.5	hard_par	n/a	0.2708
110.51	4.5	0.8599	-0.05	hard_par	10	21.443	1 year	365	0.003135	y	1	111.37	115.03	94.5	19	110.5122	4.5	hard_par	n/a	0.2708
115.76	4.5	1.3923	 0.01	hard_par	10	10.700	3 weeks	21	0.003333	y	1	117.15	120.27	99.75	20	115.7565	4.5	hard_par	n/a	0.2708
121.00	4.5	1.0131	-0.99	easy_par	10	10.040	4 months	120	0.000033	y	1	122.01	125.51	105	21	121.0008	4.5	easy_par	0.5	n/a
126.26	4.5	3.3062	-0.05	hard_par	5	 6.881	4 months	120	0.003135	b	0	129.57	130.78	110.25	22	126.2616	4.5	hard_par	n/a	-0.7292
131.51	4.5	0.8437	 0.01	hard_par	10	22.165	1 year	365	0.003333	y	1	132.35	136.02	115.5	23	131.506	4.5	hard_par	n/a	0.2708
136.77	4.5	1.3445	-0.05	hard_par	5	 5.110	1 week	7	0.003135	y	1	138.11	141.28	120.75	24	136.7668	4.5	hard_par	n/a	0.2708
142.01	4.5	1.5253	-0.05	hard_par	10	10.658	3 weeks	21	0.003135	y	1	143.54	146.53	126	25	142.0111	4.5	hard_par	n/a	0.2708
147.26	4.5	1.2072	-0.01	hard_par	5	 6.960	4 months	120	0.003267	y	1	148.46	151.77	131.25	26	147.2553	4.5	hard_par	n/a	0.2708
152.52	4.5	1.1438	-0.95	easy_par	5	 5.301	1 year	365	0.000165	b	0	153.66	157.03	136.5	27	152.5163	4.5	easy_par	-0.5	n/a
157.76	4.5	1.8360	-0.01	hard_par	10	10.229	1 week	7	0.003267	b	0	159.60	162.27	141.75	28	157.7605	4.5	hard_par	n/a	-0.7292
163.00	4.5	1.2641	-0.01	hard_par	10	13.920	4 months	120	0.003267	b	0	164.27	167.52	147	29	163.0048	4.5	hard_par	n/a	-0.7292
168.27	4.5	1.2511	-0.05	hard_par	5	10.721	1 year	365	0.003135	y	1	169.52	172.78	152.25	30	168.2656	4.5	hard_par	n/a	0.2708
173.51	4.5	1.6318	-0.95	easy_par	10	10.003	2 days	2	0.000165	b	0	175.14	178.02	157.5	31	173.5099	4.5	easy_par	-0.5	n/a
184.02	4.5	1.3012	-0.01	hard_par	10	10.686	3 weeks	21	0.003267	b	0	185.32	188.53	168	33	184.0151	4.5	hard_par	n/a	-0.7292
189.26	4.5	0.8886	 0.05	hard_par	10	14.158	4 months	120	0.003465	y	1	190.15	193.77	173.25	34	189.2593	4.5	hard_par	n/a	0.2708
194.50	4.5	1.9728	 1.90	easy_par	5	 7.871	2 months	60	0.009570	y	1	196.48	199.02	178.5	35	194.5036	4.5	easy_par	0.5	n/a
199.76	4.5	1.1057	-0.01	hard_par	5	10.962	1 year	365	0.003267	y	1	200.87	204.28	183.75	36	199.7646	4.5	hard_par	n/a	0.2708
