onset	duration	reaction_time	percent_off_trial	trial_type	immediate_amount	delayed_amount	delay_time_words	delay_time_days	k_this_trial	response_button	response_binarized	onset.plus.rt	onset.plus.stimdur	absolute_time	trialnum	onset_orig	duration_orig	trial_type_orig	easy_par_orig	hard_par_orig
 16.01	4.5	1.5074	-0.99	easy_par	10	10.041	2 months	60	0.000068	b	0	 17.52	 20.52	0	1	16.0095	4.5	easy_par	-0.5	n/a
 21.25	4.5	2.8588	-0.99	easy_par	5	 5.001	2 days	2	0.000068	b	0	 24.11	 25.77	5.25	2	21.2537	4.5	easy_par	-0.5	n/a
 31.76	4.5	2.4631	 1.90	easy_par	5	10.916	2 months	60	0.019720	b	0	 34.22	 36.27	15.75	4	31.7588	4.5	easy_par	-0.5	n/a
 37.00	4.5	2.0599	-0.95	easy_par	10	10.007	2 days	2	0.000340	b	0	 39.06	 41.52	21	5	37.0032	4.5	easy_par	-0.5	n/a
 42.26	4.5	1.6012	-0.05	hard_par	10	10.129	2 days	2	0.006460	y	1	 43.87	 46.78	26.25	6	42.264	4.5	hard_par	n/a	0.3125
 47.51	4.5	1.9945	 0.01	hard_par	10	11.442	3 weeks	21	0.006868	b	0	 49.50	 52.02	31.5	7	47.5084	4.5	hard_par	n/a	-0.6875
 52.75	4.5	1.7976	 1.90	easy_par	10	10.394	2 days	2	0.019720	y	1	 54.55	 57.27	36.75	8	52.7525	4.5	easy_par	0.5	n/a
 58.01	4.5	1.8164	-0.99	easy_par	10	10.082	4 months	120	0.000068	b	0	 59.83	 62.53	42	9	58.0134	4.5	easy_par	-0.5	n/a
 63.26	4.5	1.4456	-0.05	hard_par	5	16.790	1 year	365	0.006460	b	0	 64.70	 67.77	47.25	10	63.2576	4.5	hard_par	n/a	-0.6875
 68.50	4.5	1.8816	-0.01	hard_par	10	11.414	3 weeks	21	0.006732	y	1	 70.38	 73.02	52.5	11	68.5019	4.5	hard_par	n/a	0.3125
 73.76	4.5	2.7542	 1.90	easy_par	10	33.664	4 months	120	0.019720	y	1	 76.52	 78.28	57.75	12	73.7628	4.5	easy_par	0.5	n/a
 79.01	4.5	1.4631	 0.01	hard_par	10	10.481	1 week	7	0.006868	y	1	 80.47	 83.52	63	13	79.0071	4.5	hard_par	n/a	0.3125
 84.25	4.5	1.2600	 2.00	easy_par	10	14.284	3 weeks	21	0.020400	y	1	 85.51	 88.77	68.25	14	84.2513	4.5	easy_par	0.5	n/a
 89.51	4.5	1.4158	-0.01	hard_par	5	17.286	1 year	365	0.006732	b	0	 90.93	 94.03	73.5	15	89.5123	4.5	hard_par	n/a	-0.6875
 94.76	4.5	1.1488	 1.90	easy_par	5	 5.197	2 days	2	0.019720	y	1	 95.91	 99.27	78.75	16	94.7565	4.5	easy_par	0.5	n/a
105.26	4.5	1.3707	 0.05	hard_par	10	36.061	1 year	365	0.007140	b	0	106.63	109.78	89.25	18	105.2617	4.5	hard_par	n/a	-0.6875
110.51	4.5	1.1673	-0.05	hard_par	5	 5.678	3 weeks	21	0.006460	y	1	111.67	115.02	94.5	19	110.5059	4.5	hard_par	n/a	0.3125
