onset	duration	reaction_time	percent_off_trial	trial_type	immediate_amount	delayed_amount	delay_time_words	delay_time_days	k_this_trial	response_button	response_binarized	onset.plus.rt	onset.plus.stimdur	absolute_time	trialnum	onset_orig	duration_orig	trial_type_orig	easy_par_orig	hard_par_orig
 16.01	4.5	2.3053	 1.90	easy_par	10	11.949	3 weeks	21	0.009280	y	1	 18.32	 20.53	0	1	16.0134	4.5	easy_par	0.5625	n/a
 21.26	4.5	2.3618	-0.95	easy_par	10	10.003	2 days	2	0.000160	b	0	 23.62	 25.77	5.25	2	21.2577	4.5	easy_par	-0.4375	n/a
 31.76	4.5	2.0537	 2.00	easy_par	5	10.760	4 months	120	0.009600	y	1	 33.82	 36.28	15.75	4	31.7627	4.5	easy_par	0.5625	n/a
 37.01	4.5	1.5708	-0.99	easy_par	5	 5.058	1 year	365	0.000032	b	0	 38.58	 41.52	21	5	37.0071	4.5	easy_par	-0.4375	n/a
 42.25	4.5	2.1197	-0.01	hard_par	10	21.563	1 year	365	0.003168	y	1	 44.37	 46.77	26.25	6	42.2513	4.5	hard_par	n/a	0.5
 47.51	4.5	1.6989	 1.90	easy_par	5	 5.325	1 week	7	0.009280	b	0	 49.21	 52.03	31.5	7	47.512	4.5	easy_par	-0.4375	n/a
 52.76	4.5	1.3752	-0.95	easy_par	10	10.584	1 year	365	0.000160	b	0	 54.13	 57.27	36.75	8	52.7565	4.5	easy_par	-0.4375	n/a
 58.02	4.5	1.3781	-0.99	easy_par	5	 5.010	2 months	60	0.000032	b	0	 59.40	 62.53	42	9	58.0172	4.5	easy_par	-0.4375	n/a
 63.26	4.5	2.5959	-0.05	hard_par	10	11.824	2 months	60	0.003040	y	1	 65.86	 67.78	47.25	10	63.2615	4.5	hard_par	n/a	0.5
 68.51	4.5	1.8787	-0.05	hard_par	10	10.213	1 week	7	0.003040	b	0	 70.38	 73.02	52.5	11	68.5058	4.5	hard_par	n/a	-0.5
 73.77	4.5	1.5858	-0.01	hard_par	10	10.222	1 week	7	0.003168	b	0	 75.35	 78.28	57.75	12	73.7666	4.5	hard_par	n/a	-0.5
 79.01	4.5	1.5769	 1.90	easy_par	10	10.186	2 days	2	0.009280	y	1	 80.59	 83.53	63	13	79.0109	4.5	easy_par	0.5625	n/a
 84.26	4.5	2.4203	 2.00	easy_par	5	 6.008	3 weeks	21	0.009600	y	1	 86.68	 88.77	68.25	14	84.2552	4.5	easy_par	0.5625	n/a
 89.52	4.5	1.5473	 2.00	easy_par	10	12.016	3 weeks	21	0.009600	y	1	 91.06	 94.03	73.5	15	89.5162	4.5	easy_par	0.5625	n/a
 94.76	4.5	1.2553	 2.00	easy_par	10	45.040	1 year	365	0.009600	y	1	 96.02	 99.27	78.75	16	94.7604	4.5	easy_par	0.5625	n/a
105.27	4.5	2.2423	-0.01	hard_par	5	10.782	1 year	365	0.003168	b	0	107.51	109.78	89.25	18	105.2655	4.5	hard_par	n/a	-0.5
110.51	4.5	1.5225	 0.01	hard_par	10	10.065	2 days	2	0.003232	b	0	112.03	115.02	94.5	19	110.5098	4.5	hard_par	n/a	-0.5
115.75	4.5	1.5668	 0.05	hard_par	5	 5.034	2 days	2	0.003360	b	0	117.32	120.27	99.75	20	115.754	4.5	hard_par	n/a	-0.5
121.01	4.5	2.4733	 1.90	easy_par	5	 5.093	2 days	2	0.009280	y	1	123.49	125.53	105	21	121.0149	4.5	easy_par	0.5625	n/a
126.26	4.5	2.5023	-0.01	hard_par	10	10.063	2 days	2	0.003168	b	0	128.76	130.77	110.25	22	126.2592	4.5	hard_par	n/a	-0.5
131.50	4.5	1.4830	 0.01	hard_par	10	10.226	1 week	7	0.003232	y	1	132.99	136.02	115.5	23	131.5034	4.5	hard_par	n/a	0.5
136.76	4.5	1.4039	-0.95	easy_par	10	10.192	4 months	120	0.000160	b	0	138.17	141.28	120.75	24	136.7644	4.5	easy_par	-0.4375	n/a
142.01	4.5	1.6960	 2.00	easy_par	5	 5.096	2 days	2	0.009600	y	1	143.70	146.52	126	25	142.0087	4.5	easy_par	0.5625	n/a
147.25	4.5	1.7189	 0.05	hard_par	5	 7.016	4 months	120	0.003360	y	1	148.97	151.77	131.25	26	147.2528	4.5	hard_par	n/a	0.5
152.51	4.5	1.4178	 2.00	easy_par	5	 5.336	1 week	7	0.009600	y	1	153.93	157.03	136.5	27	152.5138	4.5	easy_par	0.5625	n/a
157.76	4.5	1.9420	 0.01	hard_par	5	 5.339	3 weeks	21	0.003232	y	1	159.70	162.27	141.75	28	157.758	4.5	hard_par	n/a	0.5
163.00	4.5	2.4894	 0.05	hard_par	5	 6.008	2 months	60	0.003360	b	0	165.49	167.52	147	29	163.0023	4.5	hard_par	n/a	-0.5
168.26	4.5	1.7720	 0.05	hard_par	10	10.067	2 days	2	0.003360	b	0	170.04	172.78	152.25	30	168.2632	4.5	hard_par	n/a	-0.5
178.75	4.5	1.5617	-0.95	easy_par	5	 5.048	2 months	60	0.000160	b	0	180.31	183.27	162.75	32	178.7518	4.5	easy_par	-0.4375	n/a
184.01	4.5	1.3910	 0.05	hard_par	5	 5.118	1 week	7	0.003360	y	1	185.40	188.53	168	33	184.0126	4.5	hard_par	n/a	0.5
189.26	4.5	2.2003	 0.01	hard_par	5	 5.113	1 week	7	0.003232	y	1	191.46	193.77	173.25	34	189.2569	4.5	hard_par	n/a	0.5
194.50	4.5	1.0774	 1.90	easy_par	10	43.872	1 year	365	0.009280	y	1	195.58	199.02	178.5	35	194.5011	4.5	easy_par	0.5625	n/a
199.76	4.5	1.1020	-0.99	easy_par	10	10.002	1 week	7	0.000032	b	0	200.86	204.28	183.75	36	199.762	4.5	easy_par	-0.4375	n/a
205.01	4.5	1.2115	-0.01	hard_par	5	 5.032	2 days	2	0.003168	b	0	206.22	209.52	189	37	205.0062	4.5	hard_par	n/a	-0.5
210.27	4.5	2.0465	 0.01	hard_par	5	10.898	1 year	365	0.003232	b	0	212.31	214.78	194.25	38	210.2672	4.5	hard_par	n/a	-0.5
215.51	4.5	2.3288	 0.01	hard_par	10	21.797	1 year	365	0.003232	y	1	217.84	220.03	199.5	39	215.5115	4.5	hard_par	n/a	0.5
220.76	4.5	1.3586	-0.01	hard_par	5	 5.333	3 weeks	21	0.003168	b	0	222.11	225.27	204.75	40	220.7557	4.5	hard_par	n/a	-0.5
226.02	4.5	1.7476	-0.99	easy_par	5	 5.019	4 months	120	0.000032	b	0	227.76	230.53	210	41	226.0165	4.5	easy_par	-0.4375	n/a
231.26	4.5	1.5236	 2.00	easy_par	10	21.520	4 months	120	0.009600	y	1	232.78	235.77	215.25	42	231.2608	4.5	easy_par	0.5625	n/a
236.51	4.5	2.2008	 0.05	hard_par	5	11.132	1 year	365	0.003360	b	0	238.71	241.02	220.5	43	236.5052	4.5	hard_par	n/a	-0.5
241.77	4.5	1.8098	-0.95	easy_par	10	10.011	1 week	7	0.000160	b	0	243.58	246.28	225.75	44	241.766	4.5	easy_par	-0.4375	n/a
252.25	4.5	1.7713	-0.95	easy_par	10	10.096	2 months	60	0.000160	b	0	254.03	256.77	236.25	46	252.2545	4.5	easy_par	-0.4375	n/a
257.52	4.5	1.4610	-0.95	easy_par	5	 5.096	4 months	120	0.000160	b	0	258.98	262.03	241.5	47	257.5155	4.5	easy_par	-0.4375	n/a
262.76	4.5	2.5440	-0.05	hard_par	10	13.648	4 months	120	0.003040	y	1	265.30	267.27	246.75	48	262.7596	4.5	hard_par	n/a	0.5
268.00	4.5	2.1240	 1.90	easy_par	10	10.650	1 week	7	0.009280	y	1	270.13	272.52	252	49	268.004	4.5	easy_par	0.5625	n/a
273.26	4.5	1.0951	-0.99	easy_par	10	10.038	4 months	120	0.000032	b	0	274.36	277.78	257.25	50	273.2648	4.5	easy_par	-0.4375	n/a
278.51	4.5	1.3717	-0.05	hard_par	10	21.096	1 year	365	0.003040	y	1	279.88	283.02	262.5	51	278.509	4.5	hard_par	n/a	0.5
283.75	4.5	1.2069	 2.00	easy_par	10	15.760	2 months	60	0.009600	y	1	284.96	288.27	267.75	52	283.7534	4.5	easy_par	0.5625	n/a
289.01	4.5	1.0663	-0.99	easy_par	10	10.001	2 days	2	0.000032	b	0	290.08	293.53	273	53	289.0142	4.5	easy_par	-0.4375	n/a
294.26	4.5	1.4149	-0.05	hard_par	10	10.638	3 weeks	21	0.003040	b	0	295.67	298.77	278.25	54	294.2585	4.5	hard_par	n/a	-0.5
299.50	4.5	1.2097	 0.05	hard_par	5	 5.353	3 weeks	21	0.003360	b	0	300.71	304.02	283.5	55	299.5028	4.5	hard_par	n/a	-0.5
304.76	4.5	1.0689	-0.99	easy_par	10	10.117	1 year	365	0.000032	b	0	305.83	309.28	288.75	56	304.7637	4.5	easy_par	-0.4375	n/a
310.01	4.5	1.2656	 1.90	easy_par	5	 7.784	2 months	60	0.009280	y	1	311.27	314.52	294	57	310.0079	4.5	easy_par	0.5625	n/a
315.25	4.5	1.5638	 0.01	hard_par	10	13.878	4 months	120	0.003232	b	0	316.82	319.77	299.25	58	315.2522	4.5	hard_par	n/a	-0.5
325.76	4.5	0.9625	-0.95	easy_par	5	 5.006	1 week	7	0.000160	b	0	326.72	330.27	309.75	60	325.7573	4.5	easy_par	-0.4375	n/a
331.00	4.5	0.9343	-0.99	easy_par	10	10.007	3 weeks	21	0.000032	b	0	331.94	335.52	315	61	331.0016	4.5	easy_par	-0.4375	n/a
336.26	4.5	1.3372	-0.01	hard_par	10	11.901	2 months	60	0.003168	y	1	337.60	340.78	320.25	62	336.2625	4.5	hard_par	n/a	0.5
341.51	4.5	1.2213	 0.05	hard_par	10	10.235	1 week	7	0.003360	y	1	342.73	346.02	325.5	63	341.5067	4.5	hard_par	n/a	0.5
346.75	4.5	1.4891	 0.01	hard_par	10	10.679	3 weeks	21	0.003232	b	0	348.24	351.27	330.75	64	346.7511	4.5	hard_par	n/a	-0.5
352.01	4.5	0.9022	-0.95	easy_par	5	 5.002	2 days	2	0.000160	b	0	352.91	356.53	336	65	352.0119	4.5	easy_par	-0.4375	n/a
357.26	4.5	1.9299	-0.05	hard_par	5	 5.912	2 months	60	0.003040	y	1	359.19	361.77	341.25	66	357.2562	4.5	hard_par	n/a	0.5
362.52	4.5	1.0762	-0.99	easy_par	5	 5.001	1 week	7	0.000032	b	0	363.59	367.03	346.5	67	362.517	4.5	easy_par	-0.4375	n/a
367.76	4.5	2.0178	-0.05	hard_par	5	 6.824	4 months	120	0.003040	b	0	369.78	372.28	351.75	68	367.7613	4.5	hard_par	n/a	-0.5
373.01	4.5	0.8608	-0.95	easy_par	5	 5.017	3 weeks	21	0.000160	b	0	373.87	377.52	357	69	373.0055	4.5	easy_par	-0.4375	n/a
378.27	4.5	1.1012	 2.00	easy_par	5	 7.880	2 months	60	0.009600	y	1	379.37	382.78	362.25	70	378.2665	4.5	easy_par	0.5625	n/a
383.51	4.5	1.1296	-0.99	easy_par	10	10.019	2 months	60	0.000032	b	0	384.64	388.02	367.5	71	383.5107	4.5	easy_par	-0.4375	n/a
388.76	4.5	1.5422	-0.05	hard_par	5	 5.319	3 weeks	21	0.003040	b	0	390.30	393.27	372.75	72	388.755	4.5	hard_par	n/a	-0.5
399.26	4.5	0.9757	-0.05	hard_par	10	10.061	2 days	2	0.003040	b	0	400.24	403.77	383.25	74	399.2602	4.5	hard_par	n/a	-0.5
404.50	4.5	1.5214	 1.90	easy_par	5	 5.974	3 weeks	21	0.009280	b	0	406.03	409.02	388.5	75	404.5045	4.5	easy_par	-0.4375	n/a
409.77	4.5	1.2455	-0.01	hard_par	10	10.665	3 weeks	21	0.003168	b	0	411.01	414.28	393.75	76	409.7653	4.5	hard_par	n/a	-0.5
415.01	4.5	2.9504	-0.01	hard_par	5	 5.950	2 months	60	0.003168	y	1	417.96	419.52	399	77	415.0095	4.5	hard_par	n/a	0.5
420.25	4.5	2.1226	 0.05	hard_par	10	10.706	3 weeks	21	0.003360	b	0	422.38	424.77	404.25	78	420.2538	4.5	hard_par	n/a	-0.5
425.51	4.5	1.6720	 2.00	easy_par	10	10.192	2 days	2	0.009600	b	0	427.19	430.03	409.5	79	425.5147	4.5	easy_par	-0.4375	n/a
430.76	4.5	2.6268	-0.01	hard_par	5	 5.111	1 week	7	0.003168	y	1	433.39	435.27	414.75	80	430.7589	4.5	hard_par	n/a	0.5
436.00	4.5	1.2864	 0.05	hard_par	10	14.032	4 months	120	0.003360	y	1	437.29	440.52	420	81	436.0033	4.5	hard_par	n/a	0.5
441.26	4.5	1.2079	 1.90	easy_par	5	21.936	1 year	365	0.009280	y	1	442.47	445.78	425.25	82	441.2641	4.5	easy_par	0.5625	n/a
446.51	4.5	1.4041	-0.01	hard_par	10	13.802	4 months	120	0.003168	y	1	447.91	451.02	430.5	83	446.5084	4.5	hard_par	n/a	0.5
451.75	4.5	1.4102	 0.01	hard_par	10	11.939	2 months	60	0.003232	y	1	453.16	456.27	435.75	84	451.7526	4.5	hard_par	n/a	0.5
457.01	4.5	1.4544	 2.00	easy_par	10	10.672	1 week	7	0.009600	y	1	458.47	461.53	441	85	457.0135	4.5	easy_par	0.5625	n/a
462.26	4.5	1.0863	-0.95	easy_par	10	10.034	3 weeks	21	0.000160	b	0	463.34	466.77	446.25	86	462.2578	4.5	easy_par	-0.4375	n/a
472.76	4.5	1.2555	-0.95	easy_par	5	 5.292	1 year	365	0.000160	b	0	474.02	477.28	456.75	88	472.7629	4.5	easy_par	-0.4375	n/a
478.01	4.5	1.5871	 0.01	hard_par	5	 5.970	2 months	60	0.003232	y	1	479.59	482.52	462	89	478.0072	4.5	hard_par	n/a	0.5
483.25	4.5	1.2875	 0.01	hard_par	5	 6.939	4 months	120	0.003232	y	1	484.54	487.77	467.25	90	483.2514	4.5	hard_par	n/a	0.5
488.51	4.5	0.9920	-0.99	easy_par	5	 5.003	3 weeks	21	0.000032	b	0	489.50	493.03	472.5	91	488.5123	4.5	easy_par	-0.4375	n/a
493.76	4.5	1.3800	-0.01	hard_par	5	 6.901	4 months	120	0.003168	y	1	495.14	498.27	477.75	92	493.7567	4.5	hard_par	n/a	0.5
499.00	4.5	1.9628	 1.90	easy_par	10	21.136	4 months	120	0.009280	y	1	500.96	503.51	483	93	499.0008	4.5	easy_par	0.5625	n/a
504.26	4.5	0.9477	-0.99	easy_par	5	 5.000	2 days	2	0.000032	b	0	505.21	508.78	488.25	94	504.2617	4.5	easy_par	-0.4375	n/a
509.51	4.5	1.0393	 1.90	easy_par	10	15.568	2 months	60	0.009280	y	1	510.55	514.02	493.5	95	509.506	4.5	easy_par	0.5625	n/a
514.77	4.5	1.6354	 0.05	hard_par	10	12.016	2 months	60	0.003360	y	1	516.40	519.28	498.75	96	514.7669	4.5	hard_par	n/a	0.5
520.01	4.5	1.2133	 2.00	easy_par	5	22.520	1 year	365	0.009600	y	1	521.22	524.53	504	97	520.0112	4.5	easy_par	0.5625	n/a
