onset	duration	reaction_time	percent_off_trial	trial_type	immediate_amount	delayed_amount	delay_time_words	delay_time_days	k_this_trial	response_button	response_binarized	onset.plus.rt	onset.plus.stimdur	absolute_time	trialnum	onset_orig	duration_orig	trial_type_orig	easy_par_orig	hard_par_orig
 16.01	4.5	2.3500	-0.99	easy_par	10	10.026	2 months	60	0.000043	b	0	 18.36	 20.52	0	1	16.0051	4.5	easy_par	-0.3333	n/a
 21.27	4.5	2.1903	-0.99	easy_par	5	 5.000	2 days	2	0.000043	b	0	 23.46	 25.78	5.25	2	21.2659	4.5	easy_par	-0.3333	n/a
 31.75	4.5	2.7411	 1.90	easy_par	5	 8.741	2 months	60	0.012470	b	0	 34.50	 36.27	15.75	4	31.7545	4.5	easy_par	-0.3333	n/a
 37.02	4.5	1.4069	-0.95	easy_par	10	10.004	2 days	2	0.000215	b	0	 38.42	 41.53	21	5	37.0153	4.5	easy_par	-0.3333	n/a
 42.26	4.5	1.4178	-0.05	hard_par	10	10.082	2 days	2	0.004085	b	0	 43.68	 46.77	26.25	6	42.2597	4.5	hard_par	n/a	-0.4792
 47.50	4.5	1.7736	 0.01	hard_par	10	10.912	3 weeks	21	0.004343	b	0	 49.28	 52.02	31.5	7	47.504	4.5	hard_par	n/a	-0.4792
 52.76	4.5	1.6408	 1.90	easy_par	10	10.249	2 days	2	0.012470	b	0	 54.41	 57.28	36.75	8	52.7648	4.5	easy_par	-0.3333	n/a
 58.01	4.5	1.2157	-0.99	easy_par	10	10.052	4 months	120	0.000043	b	0	 59.22	 62.52	42	9	58.009	4.5	easy_par	-0.3333	n/a
 63.25	4.5	3.4009	-0.05	hard_par	5	12.455	1 year	365	0.004085	b	0	 66.65	 67.77	47.25	10	63.2534	4.5	hard_par	n/a	-0.4792
 68.51	4.5	1.3427	-0.01	hard_par	10	10.894	3 weeks	21	0.004257	b	0	 69.86	 73.03	52.5	11	68.5142	4.5	hard_par	n/a	-0.4792
 73.76	4.5	3.0259	 1.90	easy_par	10	24.964	4 months	120	0.012470	y	1	 76.78	 78.27	57.75	12	73.7583	4.5	easy_par	0.6667	n/a
 79.01	4.5	1.2976	 0.01	hard_par	10	10.304	1 week	7	0.004343	b	0	 80.30	 83.52	63	13	79.0057	4.5	hard_par	n/a	-0.4792
 84.26	4.5	1.5491	 2.00	easy_par	10	12.709	3 weeks	21	0.012900	y	1	 85.81	 88.78	68.25	14	84.2635	4.5	easy_par	0.6667	n/a
 89.51	4.5	1.3858	-0.01	hard_par	5	12.769	1 year	365	0.004257	b	0	 90.89	 94.02	73.5	15	89.5079	4.5	hard_par	n/a	-0.4792
 94.75	4.5	1.4852	 1.90	easy_par	5	 5.125	2 days	2	0.012470	b	0	 96.24	 99.27	78.75	16	94.7521	4.5	easy_par	-0.3333	n/a
105.26	4.5	2.4050	 0.05	hard_par	10	26.480	1 year	365	0.004515	y	1	107.66	109.77	89.25	18	105.2573	4.5	hard_par	n/a	0.5208
110.50	4.5	1.2889	-0.05	hard_par	5	 5.429	3 weeks	21	0.004085	b	0	111.79	115.02	94.5	19	110.5015	4.5	hard_par	n/a	-0.4792
115.76	4.5	2.0989	-0.01	hard_par	10	10.298	1 week	7	0.004257	b	0	117.86	120.28	99.75	20	115.7625	4.5	hard_par	n/a	-0.4792
121.01	4.5	1.2973	-0.95	easy_par	5	 5.002	2 days	2	0.000215	b	0	122.30	125.52	105	21	121.0067	4.5	easy_par	-0.3333	n/a
126.25	4.5	1.2346	 0.01	hard_par	5	 5.152	1 week	7	0.004343	b	0	127.49	130.76	110.25	22	126.2509	4.5	hard_par	n/a	-0.4792
131.51	4.5	1.7116	 0.01	hard_par	5	 5.456	3 weeks	21	0.004343	b	0	133.22	136.03	115.5	23	131.5119	4.5	hard_par	n/a	-0.4792
136.76	4.5	2.5954	-0.01	hard_par	10	12.554	2 months	60	0.004257	b	0	139.35	141.27	120.75	24	136.7562	4.5	hard_par	n/a	-0.4792
142.02	4.5	1.7029	-0.01	hard_par	10	10.085	2 days	2	0.004257	b	0	143.72	146.53	126	25	142.017	4.5	hard_par	n/a	-0.4792
147.26	4.5	1.6427	 0.05	hard_par	5	 5.158	1 week	7	0.004515	b	0	148.90	151.78	131.25	26	147.2612	4.5	hard_par	n/a	-0.4792
152.51	4.5	2.9816	-0.05	hard_par	10	14.902	4 months	120	0.004085	y	1	155.49	157.02	136.5	27	152.5055	4.5	hard_par	n/a	0.5208
157.77	4.5	1.4952	-0.05	hard_par	10	24.910	1 year	365	0.004085	y	1	159.26	162.28	141.75	28	157.7665	4.5	hard_par	n/a	0.5208
163.01	4.5	1.1379	-0.95	easy_par	5	 5.129	4 months	120	0.000215	b	0	164.15	167.52	147	29	163.0107	4.5	easy_par	-0.3333	n/a
168.25	4.5	1.0019	-0.95	easy_par	10	10.015	1 week	7	0.000215	b	0	169.26	172.77	152.25	30	168.2549	4.5	easy_par	-0.3333	n/a
178.76	4.5	1.0059	-0.95	easy_par	10	10.129	2 months	60	0.000215	b	0	179.77	183.27	162.75	32	178.7602	4.5	easy_par	-0.3333	n/a
184.00	4.5	2.6994	 2.00	easy_par	5	 8.870	2 months	60	0.012900	y	1	186.70	188.52	168	33	184.0043	4.5	easy_par	0.6667	n/a
189.27	4.5	2.7243	 0.01	hard_par	5	 7.606	4 months	120	0.004343	y	1	191.99	193.78	173.25	34	189.2652	4.5	hard_par	n/a	0.5208
194.51	4.5	1.0496	 2.00	easy_par	10	10.258	2 days	2	0.012900	b	0	195.56	199.02	178.5	35	194.5095	4.5	easy_par	-0.3333	n/a
199.75	4.5	1.6197	 0.05	hard_par	5	 7.709	4 months	120	0.004515	y	1	201.37	204.27	183.75	36	199.7537	4.5	hard_par	n/a	0.5208
205.01	4.5	0.9288	 0.01	hard_par	5	 5.043	2 days	2	0.004343	b	0	205.94	209.53	189	37	205.0147	4.5	hard_par	n/a	-0.4792
210.26	4.5	0.9156	-0.01	hard_par	10	25.538	1 year	365	0.004257	y	1	211.17	214.77	194.25	38	210.259	4.5	hard_par	n/a	0.5208
215.50	4.5	0.8534	-0.05	hard_par	5	 5.041	2 days	2	0.004085	b	0	216.36	220.02	199.5	39	215.5033	4.5	hard_par	n/a	-0.4792
220.76	4.5	1.1612	-0.01	hard_par	5	 5.447	3 weeks	21	0.004257	b	0	221.93	225.28	204.75	40	220.7641	4.5	hard_par	n/a	-0.4792
226.01	4.5	1.4541	-0.99	easy_par	10	10.003	1 week	7	0.000043	b	0	227.46	230.52	210	41	226.0084	4.5	easy_par	-0.3333	n/a
231.26	4.5	1.9833	 0.01	hard_par	10	12.606	2 months	60	0.004343	y	1	233.24	235.77	215.25	42	231.2557	4.5	hard_par	n/a	0.5208
236.51	4.5	1.2212	 2.00	easy_par	5	28.543	1 year	365	0.012900	y	1	237.73	241.03	220.5	43	236.5135	4.5	easy_par	0.6667	n/a
241.76	4.5	1.4390	 0.01	hard_par	10	15.212	4 months	120	0.004343	y	1	243.20	246.27	225.75	44	241.7578	4.5	hard_par	n/a	0.5208
252.26	4.5	1.2890	 1.90	easy_par	5	12.482	4 months	120	0.012470	y	1	253.55	256.78	236.25	46	252.2628	4.5	easy_par	0.6667	n/a
257.51	4.5	1.0821	-0.01	hard_par	5	 5.149	1 week	7	0.004257	b	0	258.59	262.02	241.5	47	257.5071	4.5	hard_par	n/a	-0.4792
262.75	4.5	1.1843	-0.01	hard_par	5	 5.043	2 days	2	0.004257	b	0	263.94	267.27	246.75	48	262.7514	4.5	hard_par	n/a	-0.4792
268.01	4.5	1.3292	 0.05	hard_par	10	10.316	1 week	7	0.004515	b	0	269.34	272.53	252	49	268.0123	4.5	hard_par	n/a	-0.4792
273.26	4.5	1.3727	-0.05	hard_par	10	10.286	1 week	7	0.004085	b	0	274.63	277.77	257.25	50	273.2565	4.5	hard_par	n/a	-0.4792
278.50	4.5	1.0755	 0.01	hard_par	10	10.087	2 days	2	0.004343	b	0	279.58	283.01	262.5	51	278.5009	4.5	hard_par	n/a	-0.4792
283.76	4.5	1.3575	 0.05	hard_par	10	12.709	2 months	60	0.004515	y	1	285.12	288.28	267.75	52	283.7616	4.5	hard_par	n/a	0.5208
289.01	4.5	0.9134	 2.00	easy_par	10	10.903	1 week	7	0.012900	b	0	289.92	293.52	273	53	289.0059	4.5	easy_par	-0.3333	n/a
294.27	4.5	0.9981	-0.99	easy_par	5	 5.078	1 year	365	0.000043	b	0	295.27	298.78	278.25	54	294.2669	4.5	easy_par	-0.3333	n/a
299.51	4.5	1.2697	-0.05	hard_par	10	10.858	3 weeks	21	0.004085	b	0	300.78	304.03	283.5	55	299.5111	4.5	hard_par	n/a	-0.4792
304.76	4.5	1.1320	 0.01	hard_par	10	25.852	1 year	365	0.004343	y	1	305.89	309.27	288.75	56	304.7554	4.5	hard_par	n/a	0.5208
