onset	duration	reaction_time	percent_off_trial	trial_type	immediate_amount	delayed_amount	delay_time_words	delay_time_days	k_this_trial	response_button	response_binarized	onset.plus.rt	onset.plus.stimdur	absolute_time	trialnum	onset_orig	duration_orig	trial_type_orig	easy_par_orig	hard_par_orig
 16.00	4.5	2.1143	-0.99	easy_par	10	10.004	2 months	60	0.000006	b	 0	 18.12	 20.52	0	1	16.0014	2.1143	easy_par	-35.8333	n/a
 21.26	4.5	2.3600	-0.99	easy_par	5	 5.000	2 days	2	0.000006	b	 0	 23.62	 25.78	5.25	2	21.2623	2.36	easy_par	-93.8333	n/a
 31.77	4.5	1.5714	 1.90	easy_par	5	 5.522	2 months	60	0.001740	b	 0	 33.34	 36.28	15.75	4	31.7673	1.5714	easy_par	-35.8333	n/a
 37.01	4.5	0.9143	-0.95	easy_par	10	10.001	2 days	2	0.000030	b	 0	 37.93	 41.53	21	5	37.0116	0.9143	easy_par	-93.8333	n/a
 42.26	4.5	1.1401	-0.05	hard_par	10	10.011	2 days	2	0.000570	b	 0	 43.40	 46.77	26.25	6	42.2559	1.1401	hard_par	n/a	-93.8333
 47.52	4.5	1.5109	 0.01	hard_par	10	10.127	3 weeks	21	0.000606	b	 0	 49.03	 52.03	31.5	7	47.5168	1.5109	hard_par	n/a	-74.8333
 52.76	4.5	1.0368	 1.90	easy_par	10	10.035	2 days	2	0.001740	b	 0	 53.80	 57.28	36.75	8	52.7611	1.0368	easy_par	-93.8333	n/a
 58.01	4.5	0.9246	-0.99	easy_par	10	10.007	4 months	120	0.000006	b	 0	 58.93	 62.52	42	9	58.0053	0.9246	easy_par	24.1667	n/a
 63.27	4.5	1.3772	-0.05	hard_par	5	 6.040	1 year	365	0.000570	b	 0	 64.64	 67.78	47.25	10	63.2662	1.3772	hard_par	n/a	269.1667
 68.51	4.5	0.7200	-0.01	hard_par	10	10.125	3 weeks	21	0.000594	b	 0	 69.23	 73.02	52.5	11	68.5103	0.72	hard_par	n/a	-74.8333
 73.75	4.5	1.1216	 1.90	easy_par	10	12.088	4 months	120	0.001740	b	 0	 74.88	 78.27	57.75	12	73.7547	1.1216	easy_par	24.1667	n/a
 79.02	4.5	0.8840	 0.01	hard_par	10	10.042	1 week	7	0.000606	b	 0	 79.90	 83.53	63	13	79.0155	0.884	hard_par	n/a	-88.8333
 84.26	4.5	0.9744	 2.00	easy_par	10	10.378	3 weeks	21	0.001800	b	 0	 85.23	 88.77	68.25	14	84.2598	0.9744	easy_par	-74.8333	n/a
 89.50	4.5	0.8334	-0.01	hard_par	5	 6.084	1 year	365	0.000594	b	 0	 90.34	 94.02	73.5	15	89.5042	0.8334	hard_par	n/a	269.1667
 94.76	4.5	0.7008	 1.90	easy_par	5	 5.017	2 days	2	0.001740	b	 0	 95.47	 99.28	78.75	16	94.765	0.7008	easy_par	-93.8333	n/a
105.25	4.5	1.1583	 0.05	hard_par	10	12.299	1 year	365	0.000630	b	 0	106.41	109.77	89.25	18	105.2535	1.1583	hard_par	n/a	269.1667
110.51	4.5	0.9153	-0.05	hard_par	5	 5.060	3 weeks	21	0.000570	b	 0	111.43	115.03	94.5	19	110.5144	0.9153	hard_par	n/a	-74.8333
115.76	4.5	0.7595	-0.01	hard_par	10	10.042	1 week	7	0.000594	b	 0	116.52	120.27	99.75	20	115.7585	0.7595	hard_par	n/a	-88.8333
121.00	4.5	1.1836	-0.95	easy_par	5	 5.000	2 days	2	0.000030	b	 0	122.19	125.52	105	21	121.003	1.1836	easy_par	-93.8333	n/a
126.26	4.5	0.7159	 0.01	hard_par	5	 5.021	1 week	7	0.000606	b	 0	126.98	130.78	110.25	22	126.2638	0.7159	hard_par	n/a	-88.8333
