onset	duration	reaction_time	trial_number	trial_type	button_pressed	action	explode_trial	trial_value	trial_cumulative_value	payoff_level	onset_orig	duration_orig	trial_type_orig
0.0116852540004402	2	1.77373303199965	1	BALOON	b	ACCEPT	0	0.25	0.75	0.25	0.0117	2	accept
3.33106588100009	2	0.301384574000167	1	BALOON	b	ACCEPT	0	0.25	1	0.25	3.3311	2	accept
5.42213558399999	2	0.274432273000002	1	BALOON	b	ACCEPT	0	0.25	1.25	0.25	5.4221	2	accept
6.74973568500036	2	0.354421797999748	1	BALOON	b	ACCEPT	0	0.25	1.5	0.25	6.7497	2	accept
8.7245185300003	2	0.429144226000062	1	BALOON	y	CASHOUT	0	0	1.5	0.25	8.7245	2	reject
13.1887945150002	2	0.539401134999935	2	BALOON	b	ACCEPT	0	0.25	0.75	0.25	13.1888	2	accept
15.528805078	2	0.23268504600037	2	BALOON	b	ACCEPT	0	0.25	1	0.25	15.5288	2	accept
17.702914895	2	0.370819312000094	2	BALOON	b	ACCEPT	0	0.25	1.25	0.25	17.7029	2	accept
20.1092614050003	2	0.315734921000058	2	BALOON	b	ACCEPT	0	0.25	1.5	0.25	20.1093	2	accept
21.5862953370001	2	0.621597666000071	2	BALOON	y	CASHOUT	0	0	1.5	0.25	21.5863	2	reject
28.7722934200001	2	0.364138973000081	3	BALOON	b	ACCEPT	0	0.25	0.75	0.25	28.7723	2	accept
30.896660116	2	0.00314279100030035	3	BALOON	b	ACCEPT	0	0.25	1	0.25	30.8967	2	accept
32.0748100180003	2	0.26208993399996	3	BALOON	b	ACCEPT	0	0.25	1.25	0.25	32.0748	2	accept
33.917043077	2	0.323927358000219	3	BALOON	b	ACCEPT	0	0.25	1.5	0.25	33.917	2	accept
35.3774974730004	2	0.278478254999754	3	BALOON	b	ACCEPT	0	0.25	1.75	0.25	35.3775	2	accept
37.1365891140003	2	0.49316281099982	3	BALOON	y	CASHOUT	0	0	1.75	0.25	37.1366	2	reject
42.3311338140002	2	0.40560227900005	4	BALOON	b	ACCEPT	0	0.25	0.75	0.25	42.3311	2	accept
44.6711172780001	2	0.362195306000103	4	BALOON	b	ACCEPT	0	0.25	1	0.25	44.6711	2	accept
46.7123512490002	2	0.338122504999774	4	BALOON	b	ACCEPT	0	0.25	1.25	0.25	46.7124	2	accept
48.6373623190002	2	0.315974474000086	4	BALOON	b	ACCEPT	0	0.25	1.5	0.25	48.6374	2	accept
50.0648215460001	2	0.42367159000014	4	BALOON	b	ACCEPT	0	0.25	1.75	0.25	50.0648	2	accept
52.1393572360003	2	0.477203853999981	4	BALOON	y	CASHOUT	0	0	1.75	0.25	52.1394	2	reject
61.7149916330004	2	0.45314991899977	5	BALOON	b	ACCEPT	0	0.25	0.75	0.25	61.715	2	accept
64.1379589570001	2	0.375242838000304	5	BALOON	b	ACCEPT	0	0.25	1	0.25	64.138	2	accept
65.7477690140004	2	0.404216443999758	5	BALOON	b	ACCEPT	0	0.25	1.25	0.25	65.7478	2	accept
67.938441796	2	0.541498474000036	5	BALOON	b	ACCEPT	0	0.25	1.5	0.25	67.9384	2	accept
69.6478061490002	2	0.50575512100022	5	BALOON	b	ACCEPT	0	0.25	1.75	0.25	69.6478	2	accept
71.3903849220001	2	0.69024851300037	5	BALOON	y	CASHOUT	0	0	1.75	0.25	71.3904	2	reject
76.6179575690003	2	0.461991847999798	6	BALOON	b	ACCEPT	0	0.25	0.75	0.25	76.618	2	accept
78.377138888	2	0.431164969000292	6	BALOON	b	ACCEPT	0	0.25	1	0.25	78.3771	2	accept
80.2857241330003	2	0.251599535999958	6	BALOON	b	ACCEPT	0	0.25	1.25	0.25	80.2857	2	accept
81.7129253450003	2	0.487867507999908	6	BALOON	b	ACCEPT	0	0.25	1.5	0.25	81.7129	2	accept
84.1691752170004	2	0.766888866999579	6	BALOON	y	CASHOUT	0	0	1.5	0.25	84.1692	2	reject
88.4009874120002	2	0.487976486000207	7	BALOON	b	ACCEPT	0	0.25	0.75	0.25	88.401	2	accept
90.8573360730002	2	0.375812069999938	7	BALOON	b	ACCEPT	0	0.25	1	0.25	90.8573	2	accept
92.7491544470004	2	0.347742651999852	7	BALOON	b	ACCEPT	0	0.25	1.25	0.25	92.7492	2	accept
94.4916706560002	2	0.27689321600019	7	BALOON	b	ACCEPT	0	0.25	1.5	0.25	94.4917	2	accept
96.1679005380001	2	0.543369156000153	7	BALOON	y	CASHOUT	0	0	1.5	0.25	96.1679	2	reject
100.681880676	2	0.31035767000003	8	BALOON	b	ACCEPT	1	0.25	0.75	0.25	100.6819	2	accept
102.52410094	2	0.32405292500016	8	BALOON	b	ACCEPT	1	0.25	1	0.25	102.5241	2	accept
103.884937492	2	0.31521936900026	8	BALOON	b	ACCEPT	1	0.25	1.25	0.25	103.8849	2	accept
105.826711576	2	0.277136761999827	8	BALOON	b	ACCEPT	1	0.25	1.5	0.25	105.8267	2	accept
107.867805797	2	0.574269125000228	8	BALOON	b	ACCEPT	1	0.25	1.75	0.25	107.8678	2	accept
109.793110719	2	0	8	BALOON	n/a	EXPLODE	1	0	1.75	0.25	109.7931	2	explode
113.49393727	2	0.458625998000116	9	BALOON	b	ACCEPT	0	0.25	0.75	0.25	113.4939	2	accept
115.103591409	2	0.401077538999743	9	BALOON	b	ACCEPT	0	0.25	1	0.25	115.1036	2	accept
116.92929292	2	0.272287754999979	9	BALOON	b	ACCEPT	0	0.25	1.25	0.25	116.9293	2	accept
119.202875676	2	0.48547534699992	9	BALOON	b	ACCEPT	0	0.25	1.5	0.25	119.2029	2	accept
121.559505664	2	0.434478284999841	9	BALOON	y	CASHOUT	0	0	1.5	0.25	121.5595	2	reject
125.027992795	2	0.380492375000358	10	BALOON	b	ACCEPT	1	0.25	0.75	0.25	125.028	2	accept
126.870084242	2	0.283410021999771	10	BALOON	b	ACCEPT	1	0.25	1	0.25	126.8701	2	accept
128.994302789	2	0.213957392999873	10	BALOON	b	ACCEPT	1	0.25	1.25	0.25	128.9943	2	accept
130.969160199	2	0.262843189999785	10	BALOON	b	ACCEPT	1	0.25	1.5	0.25	130.9692	2	accept
132.313512824	2	0.407876844999919	10	BALOON	b	ACCEPT	1	0.25	1.75	0.25	132.3135	2	accept
133.774054182	2	0	10	BALOON	n/a	EXPLODE	1	0	1.75	0.25	133.7741	2	explode
137.657390072	2	0.279780308000227	11	BALOON	b	ACCEPT	0	0.25	0.75	0.25	137.6574	2	accept
139.267161723	2	0.246401088999846	11	BALOON	b	ACCEPT	0	0.25	1	0.25	139.2672	2	accept
