onset	duration	reaction_time	percent_off_trial	trial_type	immediate_amount	delayed_amount	delay_time_words	delay_time_days	k_this_trial	response_button	response_binarized	onset.plus.rt	onset.plus.stimdur	absolute_time	trialnum	onset_orig	duration_orig	trial_type_orig	easy_par_orig	hard_par_orig
 16.01	4.5	1.5580	 1.90	easy_par	10	13.471	3 weeks	21	0.016530	b	0	 17.56	 20.52	0	1	16.0069	1.558	easy_par	-74.8333	n/a
 21.25	4.5	1.0512	-0.95	easy_par	10	10.006	2 days	2	0.000285	b	0	 22.30	 25.77	5.25	2	21.2511	1.0512	easy_par	-93.8333	n/a
 31.76	4.5	1.0014	 2.00	easy_par	5	15.260	4 months	120	0.017100	y	1	 32.76	 36.27	15.75	4	31.7563	1.0014	easy_par	24.1667	n/a
 37.02	4.5	0.9741	-0.99	easy_par	5	 5.104	1 year	365	0.000057	b	0	 37.99	 41.53	21	5	37.0172	0.9741	easy_par	269.1667	n/a
 42.26	4.5	1.0141	-0.01	hard_par	10	30.597	1 year	365	0.005643	y	1	 43.28	 46.78	26.25	6	42.2614	1.0141	hard_par	n/a	269.1667
 47.51	4.5	1.1734	 1.90	easy_par	5	 5.579	1 week	7	0.016530	b	0	 48.68	 52.02	31.5	7	47.5057	1.1734	easy_par	-88.8333	n/a
 52.77	4.5	1.2542	-0.95	easy_par	10	11.040	1 year	365	0.000285	b	0	 54.02	 57.28	36.75	8	52.7666	1.2542	easy_par	269.1667	n/a
 58.01	4.5	0.9944	-0.99	easy_par	5	 5.017	2 months	60	0.000057	b	0	 59.01	 62.52	42	9	58.0107	0.9944	easy_par	-35.8333	n/a
 63.26	4.5	1.3101	-0.05	hard_par	10	13.249	2 months	60	0.005415	b	0	 64.57	 67.77	47.25	10	63.2551	1.3101	hard_par	n/a	-35.8333
 68.52	4.5	1.0272	-0.05	hard_par	10	10.379	1 week	7	0.005415	b	0	 69.54	 73.03	52.5	11	68.5161	1.0272	hard_par	n/a	-88.8333
 73.76	4.5	0.9022	-0.01	hard_par	10	10.395	1 week	7	0.005643	b	0	 74.66	 78.27	57.75	12	73.7601	0.9022	hard_par	n/a	-88.8333
 79.00	4.5	1.4742	 1.90	easy_par	10	10.331	2 days	2	0.016530	b	0	 80.48	 83.52	63	13	79.0045	1.4742	easy_par	-93.8333	n/a
 84.27	4.5	1.2282	 2.00	easy_par	5	 6.795	3 weeks	21	0.017100	b	0	 85.49	 88.78	68.25	14	84.2654	1.2282	easy_par	-74.8333	n/a
 89.51	4.5	1.2325	 2.00	easy_par	10	13.591	3 weeks	21	0.017100	y	1	 90.74	 94.02	73.5	15	89.5096	1.2325	easy_par	-74.8333	n/a
 94.75	4.5	0.7950	 2.00	easy_par	10	72.415	1 year	365	0.017100	y	1	 95.55	 99.27	78.75	16	94.754	0.795	easy_par	269.1667	n/a
105.26	4.5	1.1535	-0.01	hard_par	5	15.298	1 year	365	0.005643	y	1	106.41	109.77	89.25	18	105.2591	1.1535	hard_par	n/a	269.1667
110.50	4.5	1.3410	 0.01	hard_par	10	10.115	2 days	2	0.005757	b	0	111.84	115.02	94.5	19	110.5034	1.341	hard_par	n/a	-93.8333
115.76	4.5	0.8233	 0.05	hard_par	5	 5.060	2 days	2	0.005985	b	0	116.59	120.28	99.75	20	115.7642	0.8233	hard_par	n/a	-93.8333
