onset	duration	trial_type	PresentedStimulusArrowDirection	ReactionTime	SubjectResponseButton	SubjectResponseButtonCode	SubjectResponseCorrectness	TrialOutcome	StopSignalDelay	LadderNumber	LadderTime	LadderMovement	TimeCourse	onset_orig	duration_orig	trial_type_orig
0.0278141599992523	1.5	GO	LEFT	0.498090954000872	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	0	0.0278	1.5	go
2.01846487699913	1.5	GO	LEFT	0.388112540000293	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	2	2.0185	1.5	go
4.88963697899999	1.5	GO	LEFT	0.356219389001126	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	4.875	4.8896	1.5	go
6.88102689399966	1.5	STOP	RIGHT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.0535454670007312	2	50	1	6.875	6.881	1.5	succ_stop
9.38702843300052	1.5	GO	RIGHT	0.419378996999512	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	9.375	9.387	1.5	go
14.6313128179991	1.5	STOP	LEFT	0.406859908000115	LEFT	5	CorrectResponse	UnsuccessfulStop	0.153342081001028	1	150	-1	14.625	14.6313	1.5	unsucc_stop
19.6432012259993	1.5	GO	RIGHT	0.437791021000521	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	19.625	19.6432	1.5	go
23.7590438019997	1.5	GO	RIGHT	0.569353459999547	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	23.75	23.759	1.5	go
26.0160811080004	1.5	GO	LEFT	0.424978397000814	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	26	26.0161	1.5	go
28.638164308999	1.5	GO	LEFT	0.457334025000819	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	28.625	28.6382	1.5	go
32.5216098929995	1.5	GO	RIGHT	0.348712115001035	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	32.5	32.5216	1.5	go
35.0108943129999	1.5	GO	RIGHT	0.404853984999136	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	35	35.0109	1.5	go
37.2679175180001	1.5	STOP	RIGHT	0	n/a	0	IncorrectResponse	SuccessfulStop	0.102949476999129	2	100	1	37.25	37.2679	1.5	succ_stop
39.3922330999994	1.5	GO	LEFT	0.431095556999935	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	39.375	39.3922	1.5	go
41.7653496050007	1.5	GO	RIGHT	0.467239160998361	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	41.75	41.7653	1.5	go
44.1386770230001	1.5	STOP	LEFT	0.318086934999883	LEFT	5	CorrectResponse	UnsuccessfulStop	0.103034731000662	1	100	-1	44.125	44.1387	1.5	unsucc_stop
46.13009728	1.5	GO	LEFT	0.509346402999654	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	46.125	46.1301	1.5	go
48.3871153599994	1.5	GO	RIGHT	0.437612418998469	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	48.375	48.3871	1.5	go
50.395256935999	1.5	GO	RIGHT	0.595250152000517	RIGHT	28	CorrectResponse	SuccessfulGo	0	0	0	0	50.375	50.3953	1.5	go
53.1335040070007	1.5	GO	LEFT	0.441860667000583	LEFT	5	CorrectResponse	SuccessfulGo	0	0	0	0	53.125	53.1335	1.5	go
